Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Start Date,End Date,URL
1,Peterbot;Bylah,130000,/fortnite/Peterbot;/fortnite/Bylah,NAE,Duos,50,50,2022-05-28,2022-05-29,https://liquipedia.net/fortnite/Fortnite_Champion_Series/Chapter_3/Season_2/Grand_Finals/North_America_East
2,Cold;Cented,90000,/fortnite/Cold;/fortnite/Cented,,,,,,,
3,Mero;Bugha,70000,/fortnite/Mero;/fortnite/Bugha,,,,,,,
4,Acorn;Edgey,56000,/fortnite/Acorn;/fortnite/Edgey,,,,,,,
5,Ajerss;Khanada,40000,/fortnite/Ajerss;/fortnite/Khanada,,,,,,,
6,Joji;Rocaine,32000,/fortnite/Joji;/fortnite/Rocaine,,,,,,,
7,Degen;Eomzo,24000,/fortnite/Degen;/fortnite/Eomzo,,,,,,,
8,Muz;Avery,18000,/fortnite/Muz;/fortnite/Avery,,,,,,,
9,PaMstou;Fatch,15000,/fortnite/PaMstou;/fortnite/Fatch,,,,,,,
10,Spayde;Chimp,10000,/fortnite/Spayde;/fortnite/Chimp,,,,,,,
11,AsianJeff;OliverOG,8000,/fortnite/AsianJeff;/fortnite/OliverOG,,,,,,,
12,Avivv;Gold,8000,/fortnite/Avivv;/fortnite/Gold,,,,,,,
13,Cazz;Whofishy,8000,/fortnite/Cazz;/fortnite/Whofishy,,,,,,,
14,Kwanti;Larson,8000,/fortnite/Kwanti;/fortnite/Larson,,,,,,,
15,Narwhal;Nexy,8000,/fortnite/Narwhal;/fortnite/Nexy,,,,,,,
16,Doniee;MackWood,6000,/fortnite/Doniee;/fortnite/MackWood,,,,,,,
17,Blakeps;Lawrence,6000,/fortnite/Blakeps;/fortnite/Lawrence,,,,,,,
18,Seek;NetZz,6000,/fortnite/Seek;/fortnite/NetZz,,,,,,,
19,Jamper;Dukez,6000,/fortnite/Jamper;/fortnite/Dukez,,,,,,,
20,Kwah;TabzG,6000,/fortnite/Kwah;/fortnite/TabzG,,,,,,,
21,Hajie;Susscript,5000,/fortnite/Hajie;/fortnite/Susscript,,,,,,,
22,Teyo;Plege,5000,/fortnite/Teyo;/fortnite/Plege,,,,,,,
23,skqttles;Userz,5000,/fortnite/Skqttles;/fortnite/Userz,,,,,,,
24,Slackes;clarityG,5000,/fortnite/Slackes;/fortnite/ClarityG,,,,,,,
25,Death;Tabnae,5000,/fortnite/Death;/fortnite/Tabnae,,,,,,,
26,Elitxe;BankTeller,4000,/fortnite/Elitxe;/fortnite/BankTeller,,,,,,,
27,Scarebear;Walkerz,4000,/fortnite/Scarebear;/fortnite/Walkerrz,,,,,,,
28,Polo;Shonye,4000,/fortnite/Polo;/fortnite/Shonye,,,,,,,
29,Glace;Trashy,4000,/fortnite/Glace;/fortnite/Trashy,,,,,,,
30,Playify;Tkay,4000,/fortnite/Playify;/fortnite/Tkay,,,,,,,
31,Threats;Rise,3000,/fortnite/Threats;/fortnite/Rise,,,,,,,
32,Brycx;Nosn,3000,/fortnite/Brycx;/fortnite/Nosn,,,,,,,
33,Milito;Igna,3000,/fortnite/Milito;/fortnite/Igna,,,,,,,
34,DeRoller;Npen,3000,/fortnite/DeRoller;/fortnite/Npen,,,,,,,
35,Clix;Deyy,3000,/fortnite/Clix;/fortnite/Deyy,,,,,,,
36,Nyx;Nic,2000,/fortnite/Nyx;/fortnite/Nic,,,,,,,
37,Voil;Xccept,2000,/fortnite/Voil;/fortnite/Xccept,,,,,,,
38,Kreo;VerT,2000,/fortnite/Kreo;/fortnite/VerT,,,,,,,
39,Bucke;Cam,2000,/fortnite/Bucke;/fortnite/Cam,,,,,,,
40,Megga;Dubs,2000,/fortnite/Megga;/fortnite/Dubs,,,,,,,
41,Cobolt;smqcked,1500,/fortnite/Cobolt;/fortnite/Smqcked,,,,,,,
42,Mason;JaxenJ,1500,/fortnite/Mason;/fortnite/JaxenJ,,,,,,,
43,Av;Edan,1500,/fortnite/Av;/fortnite/Edan,,,,,,,
44,Crumble;Marzz_OW,1500,/fortnite/Crumble;/fortnite/Marzz_OW,,,,,,,
45,Ceneto;Cyriz,1500,/fortnite/Ceneto;/fortnite/Cyriz,,,,,,,
46,Bizzle;DiegoPlayz,1000,/fortnite/Bizzle;/fortnite/DiegoPlayz,,,,,,,
47,Dequented;Sphinx,1000,/fortnite/Dequented;/fortnite/Sphinx,,,,,,,
48,Neeqo;Pxlarized,1000,/fortnite/Neeqo;/fortnite/Pxlarized,,,,,,,
49,F4bled Taco;Golden,1000,/fortnite/F4bled_Taco;/fortnite/Golden,,,,,,,
50,Commandment;Stretch,1000,/fortnite/Commandment;/fortnite/Stretch,,,,,,,
