Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Start Date,End Date,URL
1,Howly;1Lusha,16000,/fortnite/Howly;/fortnite/1lusha,Global,Duos,50,50,2026-08-01,2026-08-02,https://liquipedia.net/fortnite/Fortnite_Champion_Series/2026/Major_2
2,5aald;Smiky,12000,/fortnite/5aald;/fortnite/Smiky,,,,,,,
3,Mshary;SaLva,8000,/fortnite/Mshary_(Mshary_AlShammari);/fortnite/Salvatore,,,,,,,
4,Rayo;Rio,6000,/fortnite/Rayo;/fortnite/Rio_(Jordanian_player),,,,,,,
5,Abodk;Txrm,4000,/fortnite/Abodk;/fortnite/Txrm,,,,,,,
6,saad;Phantom,2000,/fortnite/Saad;/fortnite/Phantom,,,,,,,
7,matrx;SHRSHF,1800,/fortnite/Matrx;/fortnite/Shrshf,,,,,,,
8,Iggy;Prooffer,1600,/fortnite/Iggy;/fortnite/Prooffer,,,,,,,
9,Cubix;Moda,1400,/fortnite/Cubix;/fortnite/Moda200896,,,,,,,
10,Osama;Virex,1200,/fortnite/Osama;/fortnite/Virex,,,,,,,
11,Henchman;Bd,1000,/fortnite/Henchman;/fortnite/Bd,,,,,,,
12,CoolKid;Mansour,1000,/fortnite/CoolKid;/fortnite/Mansour,,,,,,,
13,Stranger;Kalki,1000,/fortnite/Stranger;/fortnite/Kalki,,,,,,,
14,d4kz;Controller,1000,/fortnite/D4kz;/fortnite/Controller,,,,,,,
15,Arrow;yoicy,1000,/fortnite/Arrow;/fortnite/Yoicy,,,,,,,
16,Snowy;Rew,1000,/fortnite/Snowy;/fortnite/Rew,,,,,,,
17,Vix;Mohanad,1000,/fortnite/Vix;/fortnite/Mohanad,,,,,,,
18,Mkh;Kaido,1000,/fortnite/Mkh;/fortnite/Kaido,,,,,,,
19,Tiggz;DaNicush,1000,/fortnite/Tiggz;/fortnite/DaNicush,,,,,,,
20,7man;Slay,1000,/fortnite/7man;/fortnite/Slay,,,,,,,
21,Abod;3ziz,500,/fortnite/Abod;/fortnite/3ziz,,,,,,,
22,Nomzz;Pika,500,/fortnite/Nomzz;/fortnite/Pika_(Israeli_player),,,,,,,
23,OB;Yo7med,500,/fortnite/OB;/fortnite/Yo7med,,,,,,,
24,Adol;CTM,500,/fortnite/Adol;/fortnite/CTM,,,,,,,
25,FHD;Battal,500,/fortnite/FHD_(Fahad_Yaseer);/fortnite/Battal,,,,,,,
26,C10yyy;Po,500,/fortnite/C10yyy;/fortnite/Po,,,,,,,
27,Yassen;Hero,500,/fortnite/Yassen;/fortnite/Hero,,,,,,,
28,Hellonsteam;KOSQF,500,/fortnite/Hellonsteam;/fortnite/KOSQF,,,,,,,
29,Snowvaks;Kalgamer,500,/fortnite/Snowvaks;/fortnite/Kalgamer710,,,,,,,
30,Ward;YASER,500,/fortnite/Ward;/fortnite/YASER,,,,,,,
31,VoltiaX;Hasona,400,/fortnite/VoltiaX;/fortnite/Hasona,,,,,,,
32,Escdark;Mjr,400,/fortnite/Escdark;/fortnite/Mjr,,,,,,,
33,Omaar;Rvvr,400,/fortnite/Omaar;/fortnite/Rvvry,,,,,,,
34,Adapter;FKS,400,/fortnite/Adapter;/fortnite/FKS,,,,,,,
35,viei;ghanim,400,/fortnite/viei;/fortnite/ghanim,,,,,,,
36,Radwan;Reflextr0,400,/fortnite/Radwan;/fortnite/Reflextr0,,,,,,,
37,Zinx;ran,400,/fortnite/Zinx;/fortnite/Ran,,,,,,,
38,PnP;M7md3k,400,/fortnite/PnP;/fortnite/M7md3k,,,,,,,
39,unreal;almis,400,/fortnite/unreal;/fortnite/almis,,,,,,,
40,Rizen;BinMansoor,400,/fortnite/Rizen;/fortnite/BinMansoor,,,,,,,
41,Nachiiri;Kodex,200,/fortnite/Nachiiri;/fortnite/Kodex,,,,,,,
42,deandron;Skjalm,200,/fortnite/Deandron;/fortnite/Skjalm,,,,,,,
43,Tslar;Valun,200,/fortnite/Tslar;/fortnite/Valun,,,,,,,
44,Jokuneyy;Fzex,200,/fortnite/Jokuneyy;/fortnite/Fzex,,,,,,,
45,Sultan;QnDx,200,/fortnite/Sultan;/fortnite/QnDx,,,,,,,
46,wkey;R3D,200,/fortnite/wkey;/fortnite/R3D,,,,,,,
47,Death;Morix,200,/fortnite/Death_(ME_player);/fortnite/Morix,,,,,,,
48,Laith;Mikasa,200,/fortnite/Laith;/fortnite/Mikasa,,,,,,,
49,OMAR;bmo,200,/fortnite/OMAR;/fortnite/bmo,,,,,,,
50,Iker;EpikRat,200,/fortnite/Iker;/fortnite/EpikRat,,,,,,,
