Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Start Date,End Date,URL
1,Basil;Jace,18000,/fortnite/Basil;/fortnite/Jace,OCE,Duos,50,50,2022-03-05,2022-03-06,https://liquipedia.net/fortnite/Fortnite_Champion_Series/Chapter_3/Season_1/Grand_Finals/Oceania
2,VortexM;Sunz,12000,/fortnite/VortexM;/fortnite/Sunz,,,,,,,
3,Alex;Baily,9000,/fortnite/Alex;/fortnite/Baily,,,,,,,
4,Goeg;Scammed,5000,/fortnite/Goeg;/fortnite/Scammed,,,,,,,
5,Jynx;Worthy,4000,/fortnite/Jynx;/fortnite/Worthy,,,,,,,
6,volx;Danath,3000,/fortnite/Volx;/fortnite/Danath,,,,,,,
7,Suns;Skits,2800,/fortnite/Suns;/fortnite/Skits,,,,,,,
8,Holtay;blynks,2600,/fortnite/Holtay;/fortnite/Blynks,,,,,,,
9,Macheew;Bhraxyy,2400,/fortnite/Macheew;/fortnite/Bhrax,,,,,,,
10,Spiker;raiku,2200,/fortnite/Spiker;/fortnite/Raiku,,,,,,,
11,Astoh;Zedox,1600,/fortnite/Astoh;/fortnite/Zedox,,,,,,,
12,Sah;Kxunai,1600,/fortnite/Sah;/fortnite/Kxunai,,,,,,,
13,Maw;Grizz,1600,/fortnite/Maw;/fortnite/Grizz,,,,,,,
14,Sorif;Looter,1600,/fortnite/Sorif;/fortnite/Looter,,,,,,,
15,Elusive;Fhaqs,1600,/fortnite/Elusive;/fortnite/Fhaqs,,,,,,,
16,Pumpkin;Xalkerr,1100,/fortnite/Pumpkin;/fortnite/Xalkerr,,,,,,,
17,Mesportt;Sol,1100,/fortnite/Mesportt;/fortnite/Sol,,,,,,,
18,Xcon;SADLA,1100,/fortnite/Xcon;/fortnite/SADLA,,,,,,,
19,Fab;Keemo,1100,/fortnite/Fab;/fortnite/Keemo,,,,,,,
20,Oatley;Zanz,1100,/fortnite/Oatley;/fortnite/Zanz,,,,,,,
21,Wpuc;Marz,800,/fortnite/Wpuc;/fortnite/Marz_(OCE_player),,,,,,,
22,Bathan;Rel,800,/fortnite/Bathan;/fortnite/Rel,,,,,,,
23,Rizza;Brando,800,/fortnite/Rizza;/fortnite/Brando,,,,,,,
24,Jvano;Sanjog,800,/fortnite/Jvano;/fortnite/Sanjog,,,,,,,
25,Cazi;Toyswag,800,/fortnite/Cazi;/fortnite/Toyswag,,,,,,,
26,Fisher;Tuii,700,/fortnite/Fisher;/fortnite/Tuii,,,,,,,
27,Arrest;M0untain,700,/fortnite/Arrest;/fortnite/M0untain,,,,,,,
28,Doomy;Blynk,700,/fortnite/Doomy;/fortnite/Blynk,,,,,,,
29,Oreo;Alecc,700,/fortnite/Oreo;/fortnite/Alecc,,,,,,,
30,Effex;Rivlee,700,/fortnite/Effex;/fortnite/Rivlee,,,,,,,
31,Anon;Soaked,600,/fortnite/Anon;/fortnite/Soaked,,,,,,,
32,Wiyn;flennyboys,600,/fortnite/Wiyn;/fortnite/flennyboys,,,,,,,
33,Kodex;Leo,600,/fortnite/Kodex;/fortnite/Leo,,,,,,,
34,District;Bantis,600,/fortnite/District;/fortnite/Bantis,,,,,,,
35,Qeaxzy;m1,600,/fortnite/Qeaxzy;/fortnite/M1,,,,,,,
36,Sceam;Guandi,600,/fortnite/Sceam;/fortnite/Guandi,,,,,,,
37,Radius;Sync,600,/fortnite/Radius;/fortnite/Sync,,,,,,,
38,Rip;Mania,600,/fortnite/Rip;/fortnite/Mania,,,,,,,
39,Jаnto;Eqexy,600,/fortnite/Jаnto;/fortnite/Eqexy,,,,,,,
40,Botty;Megadan,600,/fortnite/Botty;/fortnite/Megadan,,,,,,,
41,Flenny;Tekmarr,400,/fortnite/Flenny;/fortnite/Tekmarr,,,,,,,
42,Arken;Piri,400,/fortnite/Arken;/fortnite/Piri,,,,,,,
43,Vujcich;Syn,400,/fortnite/Vujcich;/fortnite/Syn,,,,,,,
44,Minsu;Tuckle Buckle,400,/fortnite/Minsu;/fortnite/Tuckle_Buckle,,,,,,,
45,Pudnara;Trix,400,/fortnite/Pudnara;/fortnite/Trix,,,,,,,
46,Gazer;Mysty,400,/fortnite/Gazer;/fortnite/Mysty,,,,,,,
47,Mammal;Sio,400,/fortnite/Mammal;/fortnite/Sio,,,,,,,
48,Saiu;Cauzal,400,/fortnite/Saiu;/fortnite/Cauzal,,,,,,,
49,Movrickz;Zadia,400,/fortnite/Movrickz;/fortnite/Zadia,,,,,,,
50,Scriptz;Monarchy,400,/fortnite/Scriptz;/fortnite/Monarchy,,,,,,,
